Symbol,Count,Frequency,MedianOccurence,MinOccurence
e sui,248,0.026473693368446558,1438.5,14.0
ur le,247,0.026366944604864113,1661.0,15.0
oute ,246,0.026260195841281666,2316.5,17.0
s pou,246,0.026260195841281666,2251.5,24.0
rien ,246,0.026260195841281666,1779.0,26.0
"res, ",246,0.026260195841281666,1708.5,10.0
"
que ",246,0.026260195841281666,2046.0,70.0
 donn,245,0.026153447077699222,2218.0,19.0
a nat,245,0.026153447077699222,1274.0,20.0
", par",245,0.026153447077699222,1998.0,12.0
le qu,245,0.026153447077699222,1838.0,6.0
e mon,245,0.026153447077699222,1817.0,16.0
ous a,245,0.026153447077699222,1114.0,26.0
les d,243,0.02593994955053433,1764.0,7.0
 trou,242,0.025833200786951886,2459.5,40.0
t êtr,242,0.025833200786951886,1801.0,42.0
i est,242,0.025833200786951886,1638.0,8.0
 de D,241,0.02572645202336944,1163.0,32.0
 et c,241,0.02572645202336944,2342.0,52.0
qu'on,241,0.02572645202336944,1065.0,25.0
il n',240,0.025619703259786995,1605.0,20.0
our l,240,0.025619703259786995,2041.5,15.0
rois ,240,0.025619703259786995,1922.5,20.0
leurs,240,0.025619703259786995,1815.0,8.0
ectio,240,0.025619703259786995,1149.0,32.0
l ne ,240,0.025619703259786995,2023.5,24.0
 le m,238,0.025406205732622103,2402.5,15.0
 été ,238,0.025406205732622103,2242.5,35.0
nce d,238,0.025406205732622103,2223.0,22.0
e cel,237,0.025299456969039655,1889.0,36.0
dire ,237,0.025299456969039655,1728.0,22.0
ne pe,237,0.025299456969039655,1782.0,42.0
insi ,236,0.02519270820545721,2059.0,47.0
s pas,236,0.02519270820545721,2130.5,25.0
it pa,236,0.02519270820545721,2317.0,14.0
 car ,235,0.025085959441874764,1995.0,66.0
-même,235,0.025085959441874764,2012.0,10.0
le co,235,0.025085959441874764,1445.0,12.0
eulem,235,0.025085959441874764,1602.0,52.0
uleme,235,0.025085959441874764,1602.0,52.0
il ne,234,0.02497921067829232,1955.5,24.0
 fair,234,0.02497921067829232,2063.0,29.0
er de,233,0.024872461914709876,2538.0,19.0
toit ,233,0.024872461914709876,726.0,15.0
 la n,232,0.024765713151127428,1634.5,22.0
"s, qu",232,0.024765713151127428,2152.5,16.0
que p,231,0.024658964387544984,2263.0,35.0
vent ,231,0.024658964387544984,2071.0,23.0
ture ,230,0.024552215623962537,1473.5,22.0
t une,230,0.024552215623962537,2542.0,12.0
ui es,228,0.024338718096797645,1721.5,18.0
temen,227,0.024231969333215198,1812.0,22.0
ques ,227,0.024231969333215198,1993.0,27.0
sieur,227,0.024231969333215198,1958.0,14.0
 fort,227,0.024231969333215198,2393.0,14.0
oit p,226,0.024125220569632753,1896.0,14.0
e j'a,226,0.024125220569632753,1227.0,32.0
rouve,226,0.024125220569632753,2421.5,18.0
ours ,225,0.024018471806050306,2404.0,18.0
aient,225,0.024018471806050306,605.0,7.0
roit ,224,0.023911723042467862,2164.5,14.0
mière,224,0.023911723042467862,1986.0,34.0
 cell,223,0.023804974278885414,2150.0,23.0
 cert,223,0.023804974278885414,1559.0,42.0
", de ",222,0.02369822551530297,1879.0,8.0
'il n,222,0.02369822551530297,1524.5,20.0
étoit,222,0.02369822551530297,866.5,15.0
ments,222,0.02369822551530297,2114.0,18.0
 la f,222,0.02369822551530297,2573.5,13.0
"
et ",222,0.02369822551530297,2828.0,73.0
 d'au,222,0.02369822551530297,1742.0,18.0
 semb,221,0.023591476751720523,1591.0,67.0
; mai,221,0.023591476751720523,2491.0,81.0
ommen,221,0.023591476751720523,2454.0,19.0
 moin,221,0.023591476751720523,2127.0,13.0
u'on ,221,0.023591476751720523,1227.0,25.0
clair,221,0.023591476751720523,782.0,46.0
 ains,220,0.023484727988138075,2337.5,25.0
mment,220,0.023484727988138075,2280.0,16.0
 vrai,220,0.023484727988138075,1511.5,9.0
ent a,219,0.02337797922455563,2826.0,10.0
ns de,219,0.02337797922455563,2569.0,23.0
l y a,219,0.02337797922455563,2385.0,23.0
t et ,218,0.023271230460973184,2350.5,33.0
stinc,217,0.02316448169739074,731.0,58.0
tinct,217,0.02316448169739074,731.0,58.0
e pas,217,0.02316448169739074,2417.0,32.0
emble,217,0.02316448169739074,1925.0,20.0
de to,217,0.02316448169739074,2614.0,14.0
de mo,216,0.023057732933808296,1725.5,11.0
s plu,216,0.023057732933808296,1789.5,18.0
e soi,216,0.023057732933808296,1809.5,20.0
ant d,215,0.022950984170225848,2694.0,20.0
ne ch,215,0.022950984170225848,1225.0,13.0
pensé,214,0.022844235406643404,1380.0,15.0
"les, ",214,0.022844235406643404,2221.5,28.0
", com",214,0.022844235406643404,2575.5,19.0
 entr,214,0.022844235406643404,2315.5,51.0
ireme,214,0.022844235406643404,1064.0,44.0
amais,213,0.022737486643060956,2414.0,19.0
